211.8312	1.03E+07	0	5.851109	2	4
212.3362	1.22E+07	0.0138938	5.851109	4	6
212.9663	1.52E+07	0	5.819939	2	4
213.4733	1.81E+07	0.0138938	5.82001	4	6
214.5555	2.06E+07	0	5.776835	2	4
215.0699	2.46E+07	0.0138938	5.776914	4	6
216.8805	2.96E+07	0	5.7148562	2	4
217.4028	3.53E+07	0.0138938	5.7149663	4	6
219.915	1.75E+06	0	5.63598	2	2
220.459	3.49E+06	0.0138938	5.63598	4	2
220.466	4.37E+07	0	5.62196	2	4
221.0046	5.20E+07	0.0138938	5.6221371	4	6
225.7999	3.77E+06	0	5.4891689	2	2
226.3462	6.83E+07	0	5.4759355	2	4
226.3731	7.50E+06	0.0138938	5.4891689	4	2
226.9096	7.58E+07	0.0138938	5.4762391	4	6
226.922	1.26E+07	0.0138938	5.4759355	4	4
236.7052	7.61E+07	0	5.2363166	2	4
237.207	5.76E+06	0	5.225241	2	2
237.3124	9.07E+07	0.0138938	5.2368177	4	6
237.3349	1.51E+07	0.0138938	5.2363166	4	4
237.8368	1.14E+07	0.0138938	5.225241	4	2
256.7984	1.92E+07	0	4.8266321	2	4
257.5094	3.60E+07	0.0138938	4.8271968	4	6
257.5393	5.99E+06	0.0138938	4.8266321	4	4
265.2484	1.42E+07	0	4.6728909	2	2
266.0393	2.84E+07	0.0138938	4.6728909	4	2
308.21529	5.87E+07	0	4.0214836	2	4
309.27099	7.29E+07	0.0138938	4.0216502	4	6
309.28386	1.16E+07	0.0138938	4.0214836	4	4
394.40058	4.99E+07	0	3.1427212	2	2
396.152	9.85E+07	0.0138938	3.1427212	4	2
